Date,Forecast
2025-06-16,110.05137634277344
2025-06-17,110.05318450927734
2025-06-18,110.06846618652344
2025-06-19,110.07066345214844
2025-06-20,110.0768051147461
2025-06-21,110.07864379882812
2025-06-22,110.08162689208984
2025-06-23,110.08300018310547
2025-06-24,110.08460235595703
2025-06-25,110.08553314208984
2025-06-26,110.08647155761719
2025-06-27,110.08709716796875
2025-06-28,110.0876693725586
2025-06-29,110.08811950683594
2025-06-30,110.0885238647461
